Cohort,Settlement Date,Family,Facility,Tank,TaskID,Inventory Date,Months since Set date,Total Animals,Mean SL (mm)
2019,5/30/2019,OR94 X GR09,MCR,B24,Inventory_1,12/3/2019,6,50,3.840
2019,5/30/2019,OR94 X GR09,MCR,B25,Inventory_1,12/3/2019,6,112,4.240
2019,5/30/2019,OR94 X OR85,MCR,B34,Inventory_1,12/3/2019,6,124,4.483
2019,5/30/2019,OR94 X OR97,MCR,B22,Inventory_1,12/3/2019,6,103,4.530
2019,6/6/2019,OR98 X GR05,MCR,B37,Inventory_1,12/3/2019,5,113,3.140
2019,6/6/2019,OR98 X OR87,MCR,B26,Inventory_1,12/3/2019,5,242,4.160
2019,6/6/2019,OR98 X OR95,MCR,B27,Inventory_1,12/3/2019,5,11,2.945
2019,6/6/2019,GR03 X GR08,MCR,C23,Inventory_1,12/4/2019,5,51,4.680
2019,6/6/2019,GR03 X GR08,MCR,C33,Inventory_1,12/4/2019,5,7,4.786
2019,6/6/2019,GR03 X GR11,MCR,C24,Inventory_1,12/4/2019,5,109,5.260
2019,6/6/2019,GR03 X GR11,MCR,C34,Inventory_1,12/4/2019,5,25,3.850
2019,6/6/2019,OR92 X GR08,MCR,C31,Inventory_1,12/4/2019,5,18,4.573
2019,6/6/2019,OR92 X GR08,MCR,C32,Inventory_1,12/4/2019,5,86,4.693
2019,6/6/2019,OR93 X GR11,MCR,C25,Inventory_1,12/4/2019,5,35,5.383
2019,5/30/2019,OR94 X GR09,MCR,C22,Inventory_1,12/4/2019,6,67,4.580
2019,5/30/2019,OR94 X OR85,MCR,C21,Inventory_1,12/4/2019,6,57,3.667
2019,6/6/2019,GR03 X GR08,MCR,D09,Inventory_1,12/8/2019,6,4,6.600
2019,6/6/2019,GR03 X GR11,MCR,D15,Inventory_1,12/8/2019,6,41,3.560
2019,6/6/2019,OR88 X GR05,MCR,C35,Inventory_1,12/8/2019,6,514,3.543
2019,5/30/2019,OR94 X OR85,MCR,D11,Inventory_1,12/8/2019,6,6,6.040
2019,5/30/2019,OR94 X OR85,MCR,D17,Inventory_1,12/8/2019,6,4,5.725
2019,5/30/2019,OR94 X OR97,MCR,D10,Inventory_1,12/8/2019,6,43,3.920
2019,5/30/2019,OR94 X OR97,MCR,D16,Inventory_1,12/8/2019,6,21,4.760
2019,6/18/2019,GR14 X OR29,MCR,B11,Inventory_1,12/17/2019,5,125,3.680
2019,6/18/2019,GR14 X OR29,MCR,B13,Inventory_1,12/17/2019,5,57,2.600
2019,6/18/2019,GR14 X OR29,MCR,B14,Inventory_1,12/17/2019,5,206,3.300
2019,6/18/2019,GR14 X OR29,MCR,B15,Inventory_1,12/17/2019,5,217,2.820
2019,6/18/2019,GR14 X OR55,MCR,B28,Inventory_1,12/17/2019,5,82,6.200
2019,6/18/2019,GR14 X OR55,MCR,B29,Inventory_1,12/17/2019,5,126,4.480
2019,6/18/2019,GR14 X OR55,MCR,B30,Inventory_1,12/17/2019,5,91,4.480
2019,6/18/2019,GR14 X OR55,MCR,B39,Inventory_1,12/17/2019,5,31,3.980
2019,6/18/2019,GR14 X OR55,MCR,B40,Inventory_1,12/17/2019,5,19,3.000
2019,6/18/2019,GR14 X OR55,MCR,D13,Inventory_1,12/17/2019,5,17,4.480
2019,6/18/2019,GR14 X OR55,MCR,D14,Inventory_1,12/17/2019,5,15,4.760
2019,6/18/2019,GR14 X OR29,MCR,D04,Inventory_1,12/18/2019,6,51,4.280
2019,6/18/2019,GR14 X OR29,MCR,D05,Inventory_1,12/18/2019,6,153,3.920
2019,6/18/2019,GR14 X OR50,MCR,C26,Inventory_1,12/18/2019,6,87,3.520
2019,6/18/2019,GR14 X OR50,MCR,C27,Inventory_1,12/18/2019,6,40,6.640
2019,6/18/2019,GR14 X OR50,MCR,C28,Inventory_1,12/18/2019,6,89,5.520
2019,6/18/2019,GR14 X OR50,MCR,C29,Inventory_1,12/18/2019,6,46,5.200
2019,6/18/2019,GR14 X OR50,MCR,C30,Inventory_1,12/18/2019,6,17,2.960
2019,6/18/2019,GR14 X OR50,MCR,D02,Inventory_1,12/18/2019,6,48,3.480
2019,6/18/2019,GR14 X OR50,MCR,D03,Inventory_1,12/18/2019,6,25,5.060
2019,6/18/2019,GR14 X OR50,MCR,D08,Inventory_1,12/18/2019,6,15,4.600
2019,7/3/2019,OR67 X GR08,MCR,B01,Inventory_1,12/30/2019,5,121,4.017
2019,7/3/2019,OR67 X GR08,MCR,B02,Inventory_1,12/30/2019,5,50,4.083
2019,7/3/2019,OR67 X GR08,MCR,B03,Inventory_1,12/30/2019,5,879,2.167
2019,7/3/2019,OR67 X GR08,MCR,B04,Inventory_1,12/30/2019,5,41,3.450
2019,7/3/2019,OR65 X GR08,MCR,B07,Inventory_1,12/31/2019,5,425,3.367
2019,7/3/2019,OR65 X GR08,MCR,B08,Inventory_1,12/31/2019,5,54,4.807
2019,7/3/2019,"OR65, OR62, OR67 X GR05",MCR,B10,Inventory_1,12/31/2019,5,70,4.507
2019,7/3/2019,OR67 X GR08,MCR,B06,Inventory_1,12/31/2019,5,42,5.683
2019,7/3/2019,OR96 X GR05,MCR,B09,Inventory_1,12/31/2019,5,79,4.283
2019,7/3/2019,OR96 X GR08,MCR,B16,Inventory_1,1/1/2020,5,42,4.717
2019,7/3/2019,OR96 X GR08,MCR,B17,Inventory_1,1/1/2020,5,97,5.917
2019,7/3/2019,OR96 X GR08,MCR,B18,Inventory_1,1/1/2020,5,102,5.767
2019,7/3/2019,OR96 X GR08,MCR,B19,Inventory_1,1/1/2020,5,986,3.150
2019,7/3/2019,OR96 X GR08,MCR,B20,Inventory_1,1/1/2020,5,99,6.833
2019,5/30/2019,OR94 X GR09,MCR,B24,Inventory_2,1/27/2020,7,124,10.327
2019,5/30/2019,OR94 X GR09,MCR,B25,Inventory_2,1/27/2020,7,92,6.460
2019,5/30/2019,OR94 X OR85,MCR,B34,Inventory_2,1/27/2020,7,66,6.587
2019,5/30/2019,OR94 X OR85,MCR,C21,Inventory_2,1/27/2020,7,118,8.033
2019,5/30/2019,OR94 X OR97,MCR,B22,Inventory_2,1/27/2020,7,79,9.480
2019,5/30/2019,OR94 X OR97,MCR,D10,Inventory_2,1/27/2020,7,71,4.900
2019,6/6/2019,OR98 X GR05,MCR,B28,Inventory_2,1/27/2020,7,25,8.660
2019,6/6/2019,OR98 X GR05,MCR,B37,Inventory_2,1/27/2020,7,70,5.367
2019,6/6/2019,OR98 X OR87,MCR,B29,Inventory_2,1/27/2020,7,79,8.687
2019,6/6/2019,OR98 X OR87,MCR,C24,Inventory_2,1/27/2020,7,147,4.460
2019,6/6/2019,OR98 X OR95,MCR,B27,Inventory_2,1/27/2020,7,11,5.509
2019,6/6/2019,GR03 X GR08,MCR,C23,Inventory_2,1/28/2020,7,19,5.413
2019,6/6/2019,GR03 X GR08,MCR,C33,Inventory_2,1/28/2020,7,43,9.267
2019,6/6/2019,GR03 X GR11,MCR,C22,Inventory_2,1/28/2020,7,54,6.050
2019,6/6/2019,GR03 X GR11,MCR,C34,Inventory_2,1/28/2020,7,85,10.330
2019,6/6/2019,GR03 X GR11,MCR,D15,Inventory_2,1/28/2020,7,22,5.460
2019,6/6/2019,OR93 X GR11,MCR,C25,Inventory_2,1/28/2020,7,36,8.859
2019,6/6/2019,OR88 X GR05,MCR,C28,Inventory_2,1/29/2020,7,128,8.707
2019,6/6/2019,OR88 X GR05,MCR,C35,Inventory_2,1/29/2020,7,382,5.413
2019,6/6/2019,OR92 X GR08,MCR,C31,Inventory_2,1/29/2020,7,75,9.760
2019,6/6/2019,OR92 X GR08,MCR,C32,Inventory_2,1/29/2020,7,26,6.980
2019,6/18/2019,GR14 X OR29,MCR,B11,Inventory_2,2/10/2020,7,102,4.950
2019,6/18/2019,GR14 X OR29,MCR,B13,Inventory_2,2/10/2020,7,49,5.480
2019,6/18/2019,GR14 X OR29,MCR,B14,Inventory_2,2/10/2020,7,188,4.520
2019,6/18/2019,GR14 X OR29,MCR,B15,Inventory_2,2/10/2020,7,183,5.080
2019,6/18/2019,GR14 X OR29,MCR,B30,Inventory_2,2/11/2020,7,83,9.180
2019,6/18/2019,GR14 X OR29,MCR,D04,Inventory_2,2/11/2020,7,46,6.240
2019,6/18/2019,GR14 X OR29,MCR,D05,Inventory_2,2/11/2020,7,144,3.760
2019,6/18/2019,GR14 X OR50,MCR,C26,Inventory_2,2/11/2020,7,74,5.738
2019,6/18/2019,GR14 X OR50,MCR,C29,Inventory_2,2/11/2020,7,91,9.975
2019,6/18/2019,GR14 X OR50,MCR,C30,Inventory_2,2/11/2020,7,146,6.250
2019,6/18/2019,GR14 X OR50,MCR,D02,Inventory_2,2/11/2020,7,44,5.575
2019,6/18/2019,GR14 X OR55,MCR,B39,Inventory_2,2/11/2020,7,249,6.253
2019,6/18/2019,GR14 X OR55,MCR,B40,Inventory_2,2/11/2020,7,125,9.913
2019,8/21/2019,OR94 X GR12,MCR,B35,Inventory_1,2/18/2020,5,131,3.093
2019,8/21/2019,OR94 X GR12,MCR,B38,Inventory_1,2/18/2020,5,425,1.833
2019,8/21/2019,OR94 X OR87,MCR,B05,Inventory_1,2/18/2020,5,70,2.557
2019,8/21/2019,OR94 X OR87,MCR,B33,Inventory_1,2/18/2020,5,27,3.000
2019,8/21/2019,OR94 X OR74,MCR,C36,Inventory_1,2/19/2020,5,4,2.425
2019,8/21/2019,OR94 X OR74,MCR,C37,Inventory_1,2/19/2020,5,8,3.325
2019,8/21/2019,OR94 X OR74,MCR,C39,Inventory_1,2/19/2020,5,31,2.411
2019,7/3/2019,OR65 X GR08,MCR,B06,Inventory_2,2/26/2020,7,51,9.927
2019,7/3/2019,OR65 X GR08,MCR,B08,Inventory_2,2/26/2020,7,384,4.547
2019,7/3/2019,"OR65, OR62, OR67 X GR05",MCR,B10,Inventory_2,2/26/2020,7,70,8.107
2019,7/3/2019,OR67 X GR08,MCR,B01,Inventory_2,2/26/2020,7,192,6.180
2019,7/3/2019,OR67 X GR08,MCR,B02,Inventory_2,2/26/2020,7,53,8.910
2019,7/3/2019,OR67 X GR08,MCR,B03,Inventory_2,2/26/2020,7,1081,2.500
2019,7/3/2019,OR96 X GR05,MCR,B09,Inventory_2,2/26/2020,7,83,7.087
2019,7/3/2019,OR96 X GR08,MCR,B16,Inventory_2,2/27/2020,7,184,7.580
2019,7/3/2019,OR96 X GR08,MCR,B17,Inventory_2,2/27/2020,7,262,4.950
2019,7/3/2019,OR96 X GR08,MCR,B19,Inventory_2,2/27/2020,7,902,2.640
2019,9/10/2019,OR68 X OR45,MCR,B12,Inventory_1,3/9/2020,5,16,3.481
2019,9/10/2019,OR68 X OR45,MCR,B23,Inventory_1,3/9/2020,5,3,4.733
2019,9/10/2019,OR68 X OR57,MCR,B31,Inventory_1,3/9/2020,5,74,4.467
2019,9/10/2019,OR68 X OR57,MCR,B32,Inventory_1,3/9/2020,5,954,2.887
2019,9/10/2019,GR14 X OR57,MCR,D06,Inventory_1,3/9/2020,5,84,2.400
2019,9/10/2019,GR14 X OR45,MCR,D07,Inventory_1,3/9/2020,5,39,2.260
2019,9/10/2019,GR14 X OR57,MCR,D12,Inventory_1,3/9/2020,5,74,2.580
2019,9/10/2019,GR14 X OR45,MCR,D18,Inventory_1,3/9/2020,5,1468,3.007
2019,5/30/2019,OR94 X OR97,MCR,B18,Inventory_3,4/6/2020,10,68,10.740
2019,5/30/2019,OR94 X OR97,MCR,B22,Inventory_3,4/6/2020,10,82,15.967
2019,5/30/2019,OR94 X GR09,MCR,B24,Inventory_3,4/6/2020,10,120,17.720
2019,5/30/2019,OR94 X GR09,MCR,B25,Inventory_3,4/6/2020,10,94,14.407
2019,5/30/2019,OR94 X OR85,MCR,B34,Inventory_3,4/6/2020,10,66,15.587
2019,5/30/2019,OR94 X OR85,MCR,C21,Inventory_3,4/6/2020,10,118,15.913
2019,6/6/2019,OR98 X OR95,MCR,B27,Inventory_3,4/6/2020,10,11,10.591
2019,6/6/2019,OR98 X GR05,MCR,B28,Inventory_3,4/6/2020,10,27,16.347
2019,6/6/2019,OR98 X GR05,MCR,B37,Inventory_3,4/6/2020,10,72,12.480
2019,6/6/2019,OR98 X OR87,MCR,B29,Inventory_3,4/7/2020,10,119,10.780
2019,6/6/2019,GR03 X GR11,MCR,C22,Inventory_3,4/7/2020,10,73,12.247
2019,6/6/2019,GR03 X GR08,MCR,C23,Inventory_3,4/7/2020,10,18,11.867
2019,6/6/2019,OR98 X OR87,MCR,C24,Inventory_3,4/7/2020,10,93,5.680
2019,6/6/2019,OR93 X GR11,MCR,C25,Inventory_3,4/7/2020,10,33,17.687
2019,6/6/2019,OR88 X GR05,MCR,C28,Inventory_3,4/7/2020,10,215,14.287
2019,6/6/2019,OR92 X GR08,MCR,C31,Inventory_3,4/7/2020,10,73,17.840
2019,6/6/2019,OR92 X GR08,MCR,C32,Inventory_3,4/7/2020,10,27,14.233
2019,6/6/2019,GR03 X GR08,MCR,C33,Inventory_3,4/7/2020,10,43,17.613
2019,6/6/2019,GR03 X GR11,MCR,C34,Inventory_3,4/7/2020,10,85,17.600
2019,6/6/2019,OR88 X GR05,MCR,C35,Inventory_3,4/7/2020,10,258,11.427
2019,8/21/2019,OR94 X OR87,MCR,B05,Inventory_2,4/13/2020,7,74,5.120
2019,8/21/2019,OR94 X OR87,MCR,B33,Inventory_2,4/13/2020,7,24,7.913
2019,8/21/2019,OR94 X GR12,MCR,B35,Inventory_2,4/13/2020,7,135,6.920
2019,8/21/2019,OR94 X GR12,MCR,B38,Inventory_2,4/13/2020,7,186,5.020
2019,8/21/2019,OR94 X OR74,MCR,C39,Inventory_2,4/13/2020,7,42,5.857
2019,6/18/2019,GR14 X OR29,MCR,B11,Inventory_3,4/20/2020,10,147,11.717
2019,6/18/2019,GR14 X OR29,MCR,B13,Inventory_3,4/20/2020,10,190,10.050
2019,6/18/2019,GR14 X OR29,MCR,B14,Inventory_3,4/21/2020,10,185,8.050
2019,6/18/2019,GR14 X OR29,MCR,B15,Inventory_3,4/21/2020,10,185,7.350
2019,6/18/2019,GR14 X OR29,MCR,B30,Inventory_3,4/21/2020,10,74,14.817
2019,6/18/2019,GR14 X OR50,MCR,C26,Inventory_3,4/22/2020,10,121,14.647
2019,6/18/2019,GR14 X OR50,MCR,C29,Inventory_3,4/22/2020,10,91,16.113
2019,6/18/2019,GR14 X OR50,MCR,C30,Inventory_3,4/22/2020,10,146,15.320
2019,6/18/2019,GR14 X OR55,MCR,B39,Inventory_3,4/22/2020,10,221,14.660
2019,6/18/2019,GR14 X OR55,MCR,B40,Inventory_3,4/22/2020,10,117,18.780
2019,7/3/2019,OR67 X GR08,MCR,B01,Inventory_3,4/24/2020,9,172,5.650
2019,7/3/2019,OR67 X GR08,MCR,B02,Inventory_3,4/24/2020,9,179,9.860
2019,7/3/2019,OR67 X GR08,MCR,B03,Inventory_3,4/24/2020,9,974,3.660
2019,7/3/2019,OR65 X GR08,MCR,B06,Inventory_3,4/24/2020,9,200,12.287
2019,7/3/2019,OR65 X GR08,MCR,B08,Inventory_3,4/24/2020,9,219,7.787
2019,7/3/2019,OR96 X GR05,MCR,B09,Inventory_3,4/24/2020,9,83,12.900
2019,7/3/2019,"OR65, OR62, OR67 X GR05",MCR,B10,Inventory_3,4/24/2020,9,67,15.333
2019,7/3/2019,OR96 X GR08,MCR,B16,Inventory_3,4/24/2020,9,183,11.100
2019,7/3/2019,OR96 X GR08,MCR,B17,Inventory_3,4/24/2020,9,467,7.420
2019,7/3/2019,OR96 X GR08,MCR,B19,Inventory_3,4/24/2020,9,653,6.080
2019,9/10/2019,OR68 X OR45,MCR,B12,Inventory_2,4/28/2020,7,19,7.428
2019,9/10/2019,OR68 X OR57,MCR,B31,Inventory_2,4/28/2020,7,68,9.560
2019,9/10/2019,OR68 X OR57,MCR,B32,Inventory_2,4/28/2020,7,234,5.073
2019,9/10/2019,GR14 X OR57,MCR,D06,Inventory_2,4/28/2020,7,78,6.953
2019,9/10/2019,GR14 X OR57,MCR,D12,Inventory_2,4/28/2020,7,85,6.547
2019,9/10/2019,GR14 X OR45,MCR,D18,Inventory_2,4/28/2020,7,1073,4.827
2019,9/10/2019,OR68 X OR57,MCR,B23,Inventory_2,5/2/2020,7,227,10.813
2019,9/10/2019,GR14 X OR45,MCR,B26,Inventory_2,5/2/2020,7,330,7.787
2019,9/10/2019,GR14 X OR57,MCR,C39,Inventory_3,5/13/2020,8,97,8.260
2019,8/21/2019,OR94 X GR12,MCR,B38,Inventory_3,5/12/2020,8,123,10.067
2019,8/21/2019,OR94 X GR12,MCR,B35,Inventory_3,5/12/2020,8,62,13.880
2019,9/10/2019,OR68 X OR57,MCR,B31,Inventory_3,5/2/2020,7,219,
2019,9/10/2019,GR14 X OR45,MCR,D18,Inventory_3,5/2/2020,7,1073,
2019,9/10/2019,OR68 X OR57,MCR,B23,Inventory_3,5/2/2020,7,227,10.813
2019,9/10/2019,GR14 X OR45,MCR,B26,Inventory_3,5/2/2020,7,330,7.787
2019,9/10/2019,OR68 X OR57,MCR,B32,Inventory_3,5/2/2020,7,83,
2019,8/21/2019,OR94 X OR74,MCR,C39,Inventory_3,5/2/2020,8,42,17.073
2019,8/21/2019,OR94 X OR87,MCR,B05,Inventory_3,5/2/2020,8,98,8.593
2019,9/10/2019,OR68 X OR45,MCR,B12,Inventory_3,5/2/2020,7,19,10.590
2020,6/11/2020,GR26 X GR17,MCR,B40,Inventory_0,6/11/2020,0,24300,
2020,6/11/2020,GR26 X GR17,MCR,C25,Inventory_0,6/11/2020,0,24300,
2020,6/11/2020,GR26 X GR24,MCR,B40,Inventory_0,6/11/2020,0,20400,
2020,6/11/2020,GR26 X GR24,MCR,C21,Inventory_0,6/11/2020,0,20400,
2020,6/11/2020,GR26 X OR14,MCR,B09,Inventory_0,6/11/2020,0,21600,
2020,6/11/2020,GR26 X OR14,MCR,C31,Inventory_0,6/11/2020,0,21600,
2020,6/11/2020,GR26 X OR44,MCR,B02,Inventory_0,6/11/2020,0,22800,
2020,6/11/2020,GR26 X OR44,MCR,B20,Inventory_0,6/11/2020,0,22800,
2020,6/11/2020,GR26 X OR44,MCR,B28,Inventory_0,6/11/2020,0,22800,
2020,6/25/2020,GR02 X GR20,MCR,B07,Inventory_0,6/25/2020,0,2400,
2020,6/25/2020,GR02 X OR91,MCR,B18,Inventory_0,6/25/2020,0,2000,
2020,7/9/2020,GR16 X GR07,MCR,B33,Inventory_0,7/9/2020,0,8000,
2020,7/9/2020,GR27 X GR07,MCR,B11,Inventory_0,7/9/2020,0,23000,
2020,7/9/2020,GR27 X GR07,MCR,B16,Inventory_0,7/9/2020,0,23000,
2020,7/9/2020,GR27 X GR07,MCR,B27,Inventory_0,7/9/2020,0,23000,
2020,7/9/2020,GR27 X GR07,MCR,C26,Inventory_0,7/9/2020,0,23000,
2020,7/9/2020,GR27 X GR09,MCR,B15,Inventory_0,7/9/2020,0,22950,
2020,7/9/2020,GR27 X GR09,MCR,B36,Inventory_0,7/9/2020,0,22950,
2020,7/9/2020,GR27 X GR09,MCR,B39,Inventory_0,7/9/2020,0,22950,
2020,7/9/2020,GR27 X GR09,MCR,C36,Inventory_0,7/9/2020,0,22950,
2020,7/9/2020,GR27 X GR11,MCR,B01,Inventory_0,7/9/2020,0,15200,
2020,7/9/2020,GR27 X GR11,MCR,B06,Inventory_0,7/9/2020,0,15200,
2020,7/9/2020,GR27 X GR12,MCR,B04,Inventory_0,7/9/2020,0,23466,
2020,7/9/2020,GR27 X GR12,MCR,C23,Inventory_0,7/9/2020,0,23466,
2020,7/9/2020,GR27 X GR12,MCR,C29,Inventory_0,7/9/2020,0,23466,
2020,7/9/2020,GR27 X OR50,MCR,B21,Inventory_0,7/9/2020,0,21375,
2020,7/9/2020,GR27 X OR50,MCR,B24,Inventory_0,7/9/2020,0,21375,
2020,7/9/2020,GR27 X OR50,MCR,C30,Inventory_0,7/9/2020,0,21375,
2020,7/9/2020,GR27 X OR50,MCR,C35,Inventory_0,7/9/2020,0,21375,
2020,7/9/2020,GR28 X OR50,MCR,B29,Inventory_0,7/9/2020,0,9600,
2020,7/30/2020,GR18 X GR13,MCR,B03,Inventory_0,7/30/2020,0,25000,
2020,7/30/2020,GR18 X GR13,MCR,B25,Inventory_0,7/30/2020,0,25000,
2020,7/30/2020,GR18 X GR13,MCR,B30,Inventory_0,7/30/2020,0,25000,
2020,7/30/2020,GR18 X GR13,MCR,C10,Inventory_0,7/30/2020,0,25000,
2020,7/30/2020,GR18 X GR17,MCR,B08,Inventory_0,7/30/2020,0,25000,
2020,7/30/2020,GR18 X GR17,MCR,B14,Inventory_0,7/30/2020,0,25000,
2020,7/30/2020,GR18 X GR17,MCR,B19,Inventory_0,7/30/2020,0,25000,
